time,flux,flux_model
120.53930268545082,1.0002115,1.0000087
120.55973729512334,1.0000095,1.0000075
120.58017180467868,1.0000457,1.0000063
120.60060651411186,1.0001068,1.0000051
120.62104112366796,1.0001938,1.0000039
120.64147563299048,1.0000039,1.0000029
120.66191024242289,0.99990726,1.0000018
120.68234495174693,1.0000722,1.0000008
120.70277946095302,1.0000242,0.9999999
120.72321407015261,1.0001152,0.9999989
120.74364877936023,0.9999554,0.99999803
120.76408328844991,1.000212,0.99999714
120.78451789753308,1.0001235,0.9999963
120.8049525065071,1.00003,0.9999955
120.82538711548113,0.9999516,0.9999948
120.84582172444789,0.9999224,0.9999941
120.8662563333055,0.9999885,0.99999344
120.88669104216387,0.9997821,0.9999928
120.90712555089704,0.99986005,0.9999922
120.92756015963823,0.9998762,0.99999166
120.9479948682565,1.0000494,0.9999911
120.96842937688052,0.9999046,0.99999064
120.98886398538889,0.99999547,0.9999902
121.0092984938965,0.9997663,0.9999898
121.02973320239835,0.9998644,0.99998945
121.0501678107903,0.99987966,0.99998915
121.07060241918225,0.99992317,0.99998885
121.09103702745051,0.9998504,0.9999886
121.11147163572605,1.0000634,0.9999884
121.13190624400158,0.9998411,0.99998826
121.15234075215267,0.99991786,0.9999881
121.17277546019614,0.999801,0.999988
121.19321006823884,0.99988806,0.99998796
121.21364457627351,0.9998884,0.99998796
121.23407928420056,0.99994,0.99998796
121.25451389212685,1.0000054,0.999988
121.27494839992869,0.999974,0.99998814
121.29538300773856,1.0000553,0.99998826
121.3158177155492,1.0000237,0.99998844
121.33625232311897,0.9999253,0.9999887
121.35668683081167,0.9999804,0.9999889
121.37712153838947,0.99990547,0.9999892
121.39755614595924,0.9998928,0.9999895
121.41799065341911,1.0000571,0.9999899
121.43842526076332,0.9999631,0.9999903
121.45885996821744,1.0000061,0.99999076
121.47929447544448,1.0001578,0.99999124
121.49972908278869,0.99998206,0.9999918
121.52016369000921,0.99999183,0.9999923
121.54059839712136,0.99998075,0.9999929
121.56103300423274,1.0000095,0.99999356
121.58146751121967,1.0001237,0.9999991
121.6019022182154,1.0000597,1.0000021
121.62233682521037,1.0000409,1.0000037
121.64277133208088,0.9999051,1.0000073
121.66320593895944,1.0000112,1.0000114
121.68364064572233,1.0000046,1.000014
121.70407515236002,1.0000193,1.0000149
121.72450975912216,1.0000328,1.0000205
121.74494446565222,1.0000943,1.0000205
121.76537897228991,1.000135,1.000026
121.7858135787028,1.0000681,1.0000259
121.8062481852321,1.0001315,1.0000315
121.8266827915213,1.000014,1.0000353
121.8471173979342,0.9999907,1.0000396
121.86755200423067,1.0002245,1.0000416
121.88798661040346,0.9999164,1.0000432
121.90842121658352,1.0000547,1.0000463
121.92885582276358,1.0000275,1.0000459
121.94929032870277,1.0001582,1.0000448
121.96972503476718,0.9999855,1.0000434
121.99015964071441,1.0000656,1.0000435
122.01059414654446,1.000087,1.0000424
122.03102885236876,1.0000248,1.0000453
122.05146345819958,0.9999926,1.0000429
122.0718980639067,1.0001024,1.0000414
122.09233256962034,1.0001676,1.00004
122.11276727521908,1.0000955,1.0000415
122.13320188069338,1.0001075,1.0000405
122.15363638617418,1.0000683,1.0000437
122.17407109165651,0.99997395,1.0000427
122.19450569701439,0.9999795,1.0000411
122.21494020237878,1.0000902,1.0000389
122.23537480762752,0.99991626,1.0000367
122.25580951286975,0.99992406,1.0000355
122.27624401800131,1.0000404,1.0000358
122.29667862301721,1.0000623,1.0000348
122.31711332814302,0.9999351,1.0000352
122.33754783304175,1.0000839,1.0000373
122.35798243794125,1.0000628,1.000039
122.37841704283346,1.0000483,1.0000389
122.3988517476173,1.0001566,1.0000402
122.41928625239962,0.999952,1.0000396
122.439720857059,1.0000975,1.0000392
122.46015556172642,0.9999491,1.0000416
122.48059006627591,1.0000153,1.0000383
122.50102467070246,1.0000688,1.0000359
122.52145917513553,0.9999622,1.000037
122.54189387957013,1.0001204,1.0000372
122.56232848388026,0.99987763,1.0000366
122.58276308819768,1.0000958,1.000039
122.60319769239868,0.9999562,1.0000409
122.62363229647599,0.9999284,1.0000437
122.64406690067699,1.0000588,1.0000427
122.6645014046444,0.99999654,1.0000439
122.68493610860605,1.0000604,1.0000428
122.70537071257422,1.0000033,1.0000415
122.72580521642521,0.9999896,1.0000402
122.74623992015404,0.99984187,1.0000386
122.76667452388938,1.0001737,1.0000391
122.78710902750754,0.99990547,1.0000402
122.80754363111919,1.0001318,1.0000433
122.82797833473887,1.0000057,1.0000451
122.84841293824138,1.000067,1.0000464
122.8688475416202,0.99994814,1.0000448
122.88928214500629,1.0000204,1.0000414
122.90971674827597,1.0000126,1.0000433
122.93015135153837,0.9999744,1.0000402
122.95058585469087,0.99998415,1.0000418
122.9710205578449,1.0001048,1.0000414
122.99145516087447,1.0001297,1.0000426
123.01188966391055,1.0002139,1.0000398
123.03232436683174,1.0001687,1.0000367
123.0527589697449,0.9999902,1.0000365
123.07319357254892,1.0001086,1.0000331
123.09362807523576,1.000136,1.0000312
123.11406277791684,1.0001401,1.0000287
123.13449738060444,0.99998105,1.0000297
123.15493188305845,1.0000632,1.0000288
123.17536658562312,0.9999847,1.0000292
123.1958011880779,1.0000473,1.0000283
123.21623569041549,1.0001453,1.0000254
123.23667029275384,1.0000664,1.0000216
123.25710499496927,1.0001395,1.0000186
123.27753949719045,1.0000619,1.0000157
123.31840880127857,1.0000052,1.0000116
123.33884330338333,1.0001526,1.0000108
123.35927790525602,1.0000386,1.0000081
123.37971250712144,0.9999849,1.000006
123.40014720887848,0.9999873,1.0000045
123.42058171062672,0.99999803,1.0000046
123.441016312383,0.99993706,1.0000039
123.46145101390721,0.9999804,1.0000045
123.48188551554631,0.9999209,1.0000027
123.50232011694607,0.9998863,1.0000019
123.52275461835234,1.000178,1.0
123.54318931975286,1.0001582,0.99999547
123.56362392104347,1.0000892,0.99999565
123.58405852221767,0.99997896,0.9999929
123.60449312339188,1.0000265,0.9999923
123.62492772444239,0.9998052,0.99998873
123.64536232550017,0.9998419,0.9999892
123.66579682644078,0.9998691,0.99998635
123.68623152737564,1.0000756,0.9999839
123.7066661282006,0.9998975,0.99997944
123.72710062890837,0.99989945,0.9999767
123.7475353296104,1.000007,0.99997485
123.76796993031894,0.9999869,0.9999723
123.7884044309103,1.0000155,0.99996936
123.80883903137874,0.999891,0.99996513
123.82927373185521,0.99989694,0.9999648
123.84970823221374,0.99978787,0.999962
123.87014283244935,0.9998025,0.9999608
123.89057753269299,0.99988544,0.9999587
123.91101213292859,0.9999542,0.9999567
123.93144663293788,1.000049,0.99995303
123.95188123294793,0.9999389,0.9999495
123.97231593295146,0.9999606,0.9999474
123.99275043284433,0.9997619,0.9999445
124.01318503273797,0.99986345,0.9999402
124.03361973250867,0.9998683,0.99993616
126.11794823526725,0.9999549,0.9999677
126.13838282758661,0.99997777,0.9999689
126.15881741968042,1.000026,0.99996924
126.17925191177346,0.9999989,0.999969
126.19968660386075,0.9999164,0.99996996
126.22012119572173,1.0000539,0.9999685
