BJD,mag,filter,instrument
2460068.737884565,0.0017067082,TESS,TESS
2460068.740199383,0.008197634,TESS,TESS
2460068.7425142005,0.01046027,TESS,TESS
2460068.7448290186,0.0035323147,TESS,TESS
2460068.7471438367,0.009352971,TESS,TESS
2460068.7494586543,0.009687293,TESS,TESS
2460068.7517734724,0.0016043028,TESS,TESS
2460068.7540882905,0.012882561,TESS,TESS
2460068.756403108,0.0057719667,TESS,TESS
2460068.758717926,0.01481439,TESS,TESS
2460068.761032744,0.0069410065,TESS,TESS
2460068.763347562,0.0100585595,TESS,TESS
2460068.7656623796,0.013131509,TESS,TESS
2460068.7679771977,0.010069011,TESS,TESS
2460068.7702920153,0.014463136,TESS,TESS
2460068.7726068334,0.00081862876,TESS,TESS
2460068.7749216515,0.0118217915,TESS,TESS
2460068.777236469,0.011360851,TESS,TESS
2460068.779551287,0.016904509,TESS,TESS
2460068.781866105,0.0056288443,TESS,TESS
2460068.784180923,0.011997796,TESS,TESS
2460068.7864957405,0.011633586,TESS,TESS
2460068.7888105586,0.010861671,TESS,TESS
2460068.7911253762,0.021806028,TESS,TESS
2460068.7934401943,0.015977383,TESS,TESS
2460068.795755012,0.022765175,TESS,TESS
2460068.79806983,0.026721817,TESS,TESS
2460068.8003846477,0.028356228,TESS,TESS
2460068.802699466,0.03461535,TESS,TESS
2460068.8050142834,0.045530893,TESS,TESS
2460068.8073291015,0.040578112,TESS,TESS
2460068.809643919,0.041867573,TESS,TESS
2460068.8119587367,0.05148703,TESS,TESS
2460068.814273555,0.05134006,TESS,TESS
2460068.8165883725,0.057162598,TESS,TESS
2460068.8189031905,0.062343873,TESS,TESS
2460074.786476413,-0.001239489,TESS,TESS
2460076.182299534,0.017623508,TESS,TESS
2460076.18461433,0.020069763,TESS,TESS
2460076.1869291267,0.010319468,TESS,TESS
2460080.971604991,0.0021386032,TESS,TESS
2460081.0341042993,0.011389757,TESS,TESS
2460081.0641965587,0.026139619,TESS,TESS
2460081.0757705043,0.034731876,TESS,TESS
2460081.2794719464,0.012389292,TESS,TESS
2460081.3188233604,0.0117881,TESS,TESS
2460081.3257677276,0.0032099409,TESS,TESS
2460081.3303973055,0.015195878,TESS,TESS
2460081.3466008287,0.007723173,TESS,TESS
2460081.362804352,0.0033421637,TESS,TESS
2460081.3720635083,0.005309684,TESS,TESS
2460081.3882670314,-0.007963149,TESS,TESS
2460081.4183592885,0.0015834987,TESS,TESS
2460081.4253036557,0.0018085401,TESS,TESS
2460081.432248023,-0.005357838,TESS,TESS
2460081.515580427,-0.013080923,TESS,TESS
2460081.5665057846,-0.016841868,TESS,TESS
2460081.5850240965,-0.008497511,TESS,TESS
2460081.5896536745,-0.019433912,TESS,TESS
2460081.5942832525,-0.015002149,TESS,TESS
2460081.6174311424,-0.02284514,TESS,TESS
2460081.624375509,-0.021856282,TESS,TESS
2460081.6405790322,-0.018617915,TESS,TESS
2460081.654467766,-0.015782729,TESS,TESS
2460081.6776156556,-0.032318823,TESS,TESS
2460081.6891896008,-0.021665486,TESS,TESS
2460081.6915043895,-0.022722073,TESS,TESS
2460081.6938191787,-0.022123398,TESS,TESS
2460081.6961339675,-0.012995238,TESS,TESS
2460081.6984487567,-0.015474239,TESS,TESS
2460081.7007635455,-0.02270268,TESS,TESS
2460081.7030783347,-0.016582757,TESS,TESS
2460081.7053931234,-0.023739394,TESS,TESS
2460081.707707912,-0.020989422,TESS,TESS
2460081.7100227014,-0.01675304,TESS,TESS
2460081.71233749,-0.027083743,TESS,TESS
2460081.7146522794,-0.020131018,TESS,TESS
2460081.716967068,-0.02446158,TESS,TESS
2460081.7192818574,-0.017716758,TESS,TESS
2460081.721596646,-0.024458796,TESS,TESS
2460081.7239114353,-0.018256905,TESS,TESS
2460081.726226224,-0.027037663,TESS,TESS
2460081.7285410133,-0.01466075,TESS,TESS
2460081.730855802,-0.016990194,TESS,TESS
2460081.7331705913,-0.019635146,TESS,TESS
2460081.73548538,-0.021171585,TESS,TESS
2460081.7378001693,-0.018935814,TESS,TESS
2460081.740114958,-0.01965167,TESS,TESS
2460081.7424297472,-0.022418087,TESS,TESS
2460081.744744536,-0.011335878,TESS,TESS
2460081.747059325,-0.021275409,TESS,TESS
2460081.749374114,-0.020127838,TESS,TESS
2460081.751688903,-0.022337321,TESS,TESS
2460081.754003692,-0.01945438,TESS,TESS
2460081.7563184807,-0.012182835,TESS,TESS
2460081.75863327,-0.012689283,TESS,TESS
2460081.7609480587,-0.025338951,TESS,TESS
2460081.763262848,-0.018621478,TESS,TESS
2460081.7655776367,-0.012439927,TESS,TESS
2460081.767892426,-0.013643576,TESS,TESS
2460081.7702072146,-0.009394802,TESS,TESS
2460081.772522004,-0.021670433,TESS,TESS
2460081.7748367926,-0.022642978,TESS,TESS
2460081.777151582,-0.013801669,TESS,TESS
2460081.7794663706,-0.021407012,TESS,TESS
2460081.78178116,-0.016947763,TESS,TESS
2460081.7840959486,-0.018002333,TESS,TESS
2460081.786410738,-0.015696874,TESS,TESS
2460081.7887255265,-0.016722962,TESS,TESS
2460081.7910403158,-0.015671743,TESS,TESS
2460081.7933551045,-0.013842308,TESS,TESS
2460081.7956698937,-0.011981622,TESS,TESS
2460081.7979846825,-0.018926658,TESS,TESS
2460081.8002994717,-0.010375581,TESS,TESS
2460081.8026142605,-0.007980108,TESS,TESS
2460081.8049290497,-0.019026626,TESS,TESS
2460081.8072438384,-0.006618887,TESS,TESS
2460081.809558627,-0.012208942,TESS,TESS
2460081.8118734164,-0.022444837,TESS,TESS
2460081.814188205,-0.014229186,TESS,TESS
2460081.8165029944,-0.007970472,TESS,TESS
2460081.818817783,-0.014351815,TESS,TESS
2460081.8211325724,-0.0074801985,TESS,TESS
2460081.823447361,-0.016524756,TESS,TESS
2460081.8257621503,-0.0135863125,TESS,TESS
2460081.828076939,-0.016564146,TESS,TESS
2460081.8303917283,-0.008396054,TESS,TESS
2460081.832706517,-0.008401705,TESS,TESS
2460081.8350213063,-0.011765649,TESS,TESS
2460081.837336095,-0.0064913947,TESS,TESS
2460081.8396508843,-0.0033500362,TESS,TESS
2460081.841965673,-0.010166726,TESS,TESS
2460081.8442804622,-0.010342376,TESS,TESS
2460081.846595251,-0.010230065,TESS,TESS
2460081.84891004,-0.0072416,TESS,TESS
2460081.851224829,-0.011570762,TESS,TESS
2460081.853539618,-0.004363361,TESS,TESS
2460081.855854407,-0.006173948,TESS,TESS
